Office for National Statistics,,,,,,,,,,Return to contents page
Crown Copyright 2017,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,
,,,,,,,,,,
UTLA code,Local Authority,ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,Proportion of adults defined as obese (%)4,"Alcohol-related admissions (per 100,000)7",Physically active adults (%)5,Proportion of adults eating 5-a day (%)6,"Preventable Mortality (deaths per 100,000)8"
E08000002,Bury,71.5,5.6,24.1,19.4,23.7,596.2,57.6,50.6,221.0
E08000003,Manchester,62.8,8.0,31.7,22.7,22.1,860.8,55.3,41.4,320.5
E08000004,Oldham,64.8,8.1,29.3,22.2,28.4,695.4,45.0,44.1,261.3
E08000005,Rochdale,64.6,7.5,30.1,22.0,28.3,721.7,55.2,49.6,261.0
E08000006,Salford,69.7,8.3,23.8,22.4,26.2,923.9,49.5,45.9,278.3
E08000007,Stockport,77.6,5.6,17.6,15.1,22.0,739.8,57.7,55.3,198.2
E08000008,Tameside,71.0,5.1,25.1,21.7,25.5,818.4,52.9,41.2,267.3
E08000009,Trafford,78.9,4.7,17.3,16.4,23.9,630.0,57.3,52.5,193.9
E08000010,Wigan,77.1,5.1,18.7,18.7,27.5,750.1,54.6,48.7,220.4
E08000011,Knowsley,68.8,6.6,26.3,21.4,30.1,860.4,53.0,46.7,262.4
E08000012,Liverpool,60.5,7.6,34.4,23.1,26.7,903.1,46.2,36.5,274.0
E08000013,St. Helens,69.4,6.9,25.3,20.3,28.4,800.1,50.8,47.2,230.2
E08000014,Sefton,73.4,3.6,23.9,14.3,27.8,765.9,56.4,45.3,219.8
E08000015,Wirral,69.7,3.8,27.5,18.9,23.8,819.2,51.5,47.4,217.9
E08000016,Barnsley,72.7,6.2,22.4,21.3,33.8,756.2,50.7,52.6,207.0
E08000017,Doncaster,70.3,7.7,23.6,19.6,31.8,713.6,52.6,51.2,222.3
E08000018,Rotherham,72.4,6.0,22.8,18.0,32.6,701.2,53.0,49.8,211.2
E08000019,Sheffield,70.2,8.0,23.5,18.4,24.5,698.5,54.2,51.0,203.5
E08000021,Newcastle upon Tyne,65.1,9.1,28.3,18.6,21.8,830.7,55.7,57.2,244.0
E08000022,North Tyneside,75.8,5.7,19.5,18.0,25.1,1028.4,53.6,52.1,233.0
E08000023,South Tyneside,70.0,8.6,23.2,17.4,27.4,858.7,47.9,51.7,231.1
E08000024,Sunderland,65.7,8.7,28.0,21.5,28.7,882.5,50.6,47.8,242.6
E08000025,Birmingham,61.4,9.1,32.3,15.9,28.5,695.0,51.1,40.4,237.2
E08000026,Coventry,64.3,4.6,32.5,16.6,23.1,766.7,58.8,46.3,219.6
E08000027,Dudley,69.8,7.7,24.2,18.5,26.5,792.5,46.5,46.1,197.3
E08000028,Sandwell,66.9,7.6,27.4,17.7,29.0,762.5,50.8,42.7,247.3
E08000029,Solihull,72.5,4.3,24.1,11.6,22.5,659.2,56.3,53.7,160.5
E08000030,Walsall,64.4,9.0,29.2,17.6,29.3,650.0,49.5,45.1,226.7
E08000031,Wolverhampton,64.4,11.0,27.5,19.3,28.5,935.2,49.9,43.9,231.6
E08000032,Bradford,65.4,9.6,27.3,20.9,26.2,796.4,55.9,49.4,219.6
E08000033,Calderdale,75.9,4.7,20.4,18.7,25.0,596.2,56.5,52.4,211.9
E08000034,Kirklees,70.3,4.7,26.2,16.4,25.5,662.9,54.8,46.8,185.0
E08000035,Leeds,74.9,5.7,20.4,18.5,24.4,615.2,56.3,51.9,211.8
E08000036,Wakefield,70.1,7.3,24.2,21.9,30.1,885.4,57.3,42.7,211.0
E08000037,Gateshead,73.2,6.4,21.6,18.3,28.5,926.6,46.3,48.5,232.7
E09000002,Barking and Dagenham,65.9,10.5,26.5,18.6,31.5,528.5,46.0,43.2,225.3
E09000003,Barnet,69.1,8.3,24.4,14.4,17.6,488.4,59.5,56.7,133.6
E09000004,Bexley,75.2,7.5,18.7,14.1,25.9,468.6,53.9,49.4,165.8
E09000005,Brent,69.2,7.5,25.1,12.3,21.0,519.4,49.2,41.2,169.8
E09000006,Bromley,75.6,5.2,20.1,14.2,20.8,502.8,62.9,53.8,144.5
E09000007,Camden,69.1,4.0,28.0,16.0,15.2,572.1,64.0,52.5,159.7
E09000008,Croydon,75.5,4.1,21.2,17.9,20.9,455.2,60.6,51.1,173.4
E09000009,Ealing,72.9,5.7,22.6,15.2,22.7,559.1,54.7,47.4,168.8
E09000010,Enfield,72.9,3.8,24.5,16.8,23.9,585.4,55.5,45.1,154.9
E09000011,Greenwich,72.4,8.0,21.3,14.2,26.3,504.0,51.5,47.2,199.6
E09000012,Hackney,69.2,5.6,26.8,20.6,20.4,619.4,53.8,46.7,218.9
E09000013,Hammersmith and Fulham,77.7,4.6,18.5,18.6,16.3,547.8,61.0,50.4,199.6
E09000014,Haringey,71.5,5.7,24.0,21.9,17.7,632.2,58.2,57.5,180.7
E09000015,Harrow,74.0,4.5,22.4,13.2,19.3,472.9,55.0,51.6,137.9
E09000016,Havering,76.4,5.2,19.4,17.3,24.8,429.7,55.4,42.1,156.9
E09000017,Hillingdon,73.4,5.7,22.2,16.9,21.9,552.8,51.5,45.7,173.6
E09000018,Hounslow,74.3,4.2,22.3,14.1,19.8,482.3,55.0,48.5,171.2
E09000019,Islington,72.9,4.4,23.7,17.6,16.2,753.3,60.3,57.9,211.4
E09000020,Kensington and Chelsea,68.3,4.1,28.5,18.8,13.7,420.9,67.1,52.6,136.2
E09000021,Kingston upon Thames,74.2,4.4,22.2,16.2,17.9,429.9,66.1,56.7,144.7
E09000022,Lambeth,78.6,5.9,16.3,21.2,14.9,646.0,66.1,48.7,205.2
E09000023,Lewisham,76.0,5.7,19.4,16.6,23.8,643.6,58.8,44.0,208.0
E09000024,Merton,78.8,4.5,17.5,14.7,19.5,517.2,58.7,55.1,158.4
E09000025,Newham,66.3,8.9,27.3,20.0,25.3,587.0,44.8,41.8,189.9
E09000026,Redbridge,68.4,7.8,25.6,11.5,24.0,439.8,57.5,47.1,148.6
E09000027,Richmond upon Thames,79.6,3.7,17.2,11.9,13.9,430.1,68.5,59.4,138.2
E09000028,Southwark,74.4,7.6,19.3,15.9,20.5,593.8,59.7,45.6,207.5
E09000029,Sutton,78.1,5.5,17.4,14.5,20.5,567.1,58.8,48.9,164.5
E09000030,Tower Hamlets,70.4,8.9,22.6,20.0,14.9,551.6,57.5,44.9,230.4
E09000031,Waltham Forest,73.1,5.3,22.8,17.6,23.9,493.9,58.1,47.2,191.2
E09000032,Wandsworth,78.7,5.8,16.7,13.7,15.0,528.2,69.3,58.1,178.2
E09000033,Westminster,65.9,8.4,27.7,14.7,16.5,493.9,57.6,50.3,149.3
E10000002,Buckinghamshire,79.6,3.8,17.3,11.0,20.1,502.3,62.8,59.9,134.1
E10000003,Cambridgeshire,80.4,3.4,16.6,16.4,23.1,610.9,58.6,58.1,150.1
E10000006,Cumbria,77.9,3.7,19.0,15.6,24.3,728.4,55.9,54.6,194.3
E10000007,Derbyshire,76.2,3.5,20.9,17.9,27.2,705.3,55.6,53.3,189.7
E10000008,Devon,78.2,3.1,19.1,12.2,22.0,630.5,60.7,61.5,156.7
E10000009,Dorset,78.6,3.5,18.5,15.2,23.1,514.5,58.2,59.7,146.0
E10000011,East Sussex,73.1,4.2,23.6,18.0,23.4,571.1,58.7,57.6,161.5
E10000012,Essex,76.8,4.0,19.8,17.5,24.7,564.2,57.5,52.5,163.6
E10000013,Gloucestershire,79.7,3.6,17.2,14.6,23.8,668.6,61.5,57.3,167.5
E10000014,Hampshire,81.0,3.7,15.8,14.8,24.0,472.0,60.9,58.5,151.2
E10000015,Hertfordshire,80.6,3.0,16.9,15.5,22.2,509.3,58.7,55.3,151.7
E10000016,Kent,73.7,5.3,22.0,17.0,24.7,526.0,59.0,53.6,172.7
E10000017,Lancashire,73.6,3.5,23.7,18.3,25.0,680.7,52.5,50.0,205.7
E10000018,Leicestershire,76.5,3.1,21.0,17.4,24.0,595.9,59.5,55.6,153.5
E10000019,Lincolnshire,74.3,5.5,21.2,17.2,28.0,586.0,55.7,54.3,179.2
E10000020,Norfolk,75.1,4.3,21.6,15.6,25.7,682.3,56.5,59.8,164.9
E10000021,Northamptonshire,78.9,3.2,18.4,18.9,26.3,687.6,56.8,51.0,183.7
E10000023,North Yorkshire,80.3,2.0,18.1,13.3,23.6,621.7,58.9,57.9,153.9
E10000024,Nottinghamshire,73.4,3.5,23.8,15.7,26.6,653.9,59.5,56.2,183.3
E10000025,Oxfordshire,80.5,3.4,16.5,15.5,20.0,572.3,60.9,58.0,142.6
E10000027,Somerset,78.2,3.6,18.8,16.1,25.5,620.1,58.8,60.1,162.1
E10000028,Staffordshire,77.1,4.2,19.5,13.6,26.4,692.1,57.6,52.7,182.3
E10000029,Suffolk,76.5,4.0,20.1,16.1,24.4,563.6,57.8,57.4,156.8
E10000030,Surrey,76.5,3.1,20.9,14.0,20.5,483.8,62.0,57.0,142.2
E10000031,Warwickshire,78.6,2.0,19.7,12.1,24.3,590.3,61.2,55.2,167.4
E10000032,West Sussex,78.7,2.6,19.1,14.6,22.8,556.5,60.2,57.4,159.1
E10000034,Worcestershire,76.1,3.6,21.0,15.8,24.3,641.2,58.3,55.7,166.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1Ages 16-64. Rates based on figures divided by 16-64 population,,,,,,,,,,
2Unemployment rates based on number of unemployed people 16+ divided by the sum of employed people 16+ and unemployed people 16+,,,,,,,,,,
3Smoking prevalence is for ages 18+ estimated by ONS using Annual Population Survey data for 2015,,,,,,,,,,
"4BMI greater than or equal to 30kg/m2,is  for ages 16+",,,,,,,,,,
5Physically active adults is for ages 16+,,,,,,,,,,
6Proportion of adults eating 5-a-day is for ages 16+,,,,,,,,,,
7Value for Hackney and City of London combined; value for Cornwall & Isles of Scilly combined,,,,,,,,,,
8Value for Cornwall & Isles of Scilly combined,,,,,,,,,,
