Office for National Statistics,,,,,,,,,,Return to contents page,
Crown Copyright 2017,,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,,
,,,,,,,,,,,
UTLA code,Local Authority,Life Expectancy at birth (years),Healthy Life Expectancy at birth (years),Proportion of life in good health (%),ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,"Alcohol-related admissions (per 100,000)4","Preventable Mortality (deaths per 100,000)5",
E08000016,Barnsley,77.9,57.0,73.2,76.6,6.8,17.6,22.1,925.9,250.7,
E08000017,Doncaster,77.6,59.7,77.0,76.7,6.5,17.7,18.7,842.9,280.6,
E08000018,Rotherham,78.1,58.7,75.1,77.7,6.5,16.7,19.5,916.9,259.8,
E08000019,Sheffield,78.7,59.0,74.9,75.4,7.8,18.1,20.7,845.7,258.2,
E08000021,Newcastle upon Tyne,77.8,59.0,75.9,67.4,10.7,24.5,20.5,1017.8,312.5,
E08000022,North Tyneside,77.7,60.9,78.4,79.2,5.2,16.4,17.7,1241.7,293.2,
E08000023,South Tyneside,77.5,56.8,73.3,74.0,8.8,18.6,19.5,1033.4,293.7,
E08000024,Sunderland,77.0,58.8,76.4,69.9,10.0,22.3,22.0,1160.6,295.0,
E08000025,Birmingham,77.1,58.4,75.7,68.8,10.0,23.4,16.4,926.4,311.9,
E08000026,Coventry,78.4,62.9,80.2,70.5,4.9,25.7,19.2,959.1,281.5,
E08000027,Dudley,78.9,60.7,76.9,76.3,7.5,17.3,18.7,987.9,253.2,
E08000028,Sandwell,77.1,57.7,74.8,74.8,7.7,18.8,21.6,973.2,316.1,
E08000029,Solihull,80.4,63.8,79.4,76.4,5.0,19.4,11.7,730.4,201.2,
E08000030,Walsall,77.3,58.1,75.1,70.2,9.3,22.5,19.7,897.1,309.9,
E08000031,Wolverhampton,77.4,56.4,73.0,69.6,11.3,21.4,20.5,1235.3,296.4,
E08000032,Bradford,77.6,62.9,81.1,71.5,11.2,19.1,25.1,1003.6,279.5,
E08000033,Calderdale,78.6,63.4,80.7,79.2,5.4,16.2,21.2,775.1,259.5,
E08000034,Kirklees,78.7,60.8,77.2,77.1,4.0,19.7,15.5,832.4,230.7,
E08000035,Leeds,78.3,61.2,78.2,78.6,7.1,15.3,20.5,854.1,269.6,
E08000036,Wakefield,78.0,58.6,75.2,74.2,7.8,19.3,22.5,1099.4,269.1,
E08000037,Gateshead,77.7,57.0,73.3,77.0,6.8,17.2,20.9,1156.4,282.4,
E09000002,Barking and Dagenham,77.5,59.8,77.2,75.6,9.7,16.7,21.9,716.1,290.8,
E09000003,Barnet,81.9,68.5,83.6,75.2,9.3,16.6,19.0,662.7,169.1,
E09000004,Bexley,80.1,66.1,82.6,82.3,6.7,11.7,15.3,596.9,216.1,
E09000005,Brent,79.9,64.2,80.3,75.8,8.4,17.2,16.2,710.2,231.5,
E09000006,Bromley,81.3,68.5,84.2,80.8,6.7,13.1,15.5,578.5,187.9,
E09000007,Camden,81.7,63.7,78.1,72.1,3.3,25.3,21.2,807.7,202.2,
E09000008,Croydon,80.4,63.1,78.5,81.9,4.5,14.0,22.1,621.2,224.7,
E09000009,Ealing,80.8,64.1,79.4,81.5,5.8,13.4,20.7,771.6,219.6,
E09000010,Enfield,80.1,68.4,85.4,80.3,3.6,16.9,23.1,752.1,199.7,
E09000011,Greenwich,79.0,61.3,77.5,78.1,6.9,16.2,16.7,614.0,244.6,
E09000012,Hackney,78.7,57.7,73.4,73.0,5.7,22.5,25.4,916.7,284.3,
E09000013,Hammersmith and Fulham,79.2,62.5,78.9,81.2,4.9,14.5,21.8,775.7,267.9,
E09000014,Haringey,80.0,65.0,81.3,78.1,6.0,16.9,30.1,834.3,239.0,
E09000015,Harrow,82.3,69.2,84.1,83.2,4.3,13.0,17.2,613.7,175.1,
E09000016,Havering,80.2,65.8,82.1,81.3,5.2,14.4,18.8,604.8,203.5,
E09000017,Hillingdon,80.5,66.9,83.1,81.0,6.6,13.3,19.9,748.8,217.9,
E09000018,Hounslow,79.8,63.0,79.0,84.8,3.6,11.9,17.1,662.8,228.4,
E09000019,Islington,78.7,60.7,77.1,78.6,4.5,17.7,20.3,982.6,276.6,
E09000020,Kensington and Chelsea,83.4,67.4,80.9,76.5,3.6,20.4,22.1,580.6,172.2,
E09000021,Kingston upon Thames,81.5,67.9,83.2,80.8,3.9,15.7,18.4,601.4,191.7,
E09000022,Lambeth,78.5,59.4,75.7,82.4,7.1,11.2,25.3,915.0,267.7,
E09000023,Lewisham,78.8,60.9,77.3,79.6,5.4,15.7,20.7,932.0,274.6,
E09000024,Merton,80.5,63.2,78.5,86.3,3.4,10.8,17.0,721.2,201.5,
E09000025,Newham,79.0,60.5,76.6,75.3,7.6,18.5,26.3,848.4,241.1,
E09000026,Redbridge,80.5,62.8,78.0,79.2,5.1,16.4,15.6,614.2,200.0,
E09000027,Richmond upon Thames,82.0,68.7,83.8,82.1,2.4,15.8,14.7,564.8,175.6,
E09000028,Southwark,78.8,61.2,77.7,79.9,6.7,14.2,21.2,839.0,267.5,
E09000029,Sutton,80.8,63.2,78.3,86.3,2.5,11.4,17.2,771.7,201.4,
E09000030,Tower Hamlets,78.4,54.0,68.9,80.4,7.8,12.7,24.4,761.0,299.0,
E09000031,Waltham Forest,79.3,59.6,75.1,77.0,7.7,16.6,24.1,724.0,242.8,
E09000032,Wandsworth,79.7,62.6,78.5,86.8,4.9,9.0,15.3,752.3,235.3,
E09000033,Westminster,82.2,64.5,78.5,69.8,9.7,22.4,18.3,675.9,198.1,
E10000002,Buckinghamshire,81.5,69.6,85.4,85.1,3.4,11.8,11.7,615.2,169.2,
E10000003,Cambridgeshire,80.9,65.7,81.2,83.0,3.4,13.9,19.2,753.6,188.8,
E10000006,Cumbria,79.2,62.6,79.1,80.7,4.6,15.0,17.1,954.5,240.5,
E10000007,Derbyshire,79.2,63.5,80.2,81.1,4.2,15.1,20.2,889.8,238.3,
E10000008,Devon,80.3,65.3,81.3,83.6,2.3,14.2,12.1,760.3,199.2,
E10000009,Dorset,81.3,68.0,83.7,84.6,2.8,12.7,16.8,660.8,185.0,
E10000011,East Sussex,80.1,64.1,80.0,77.5,5.4,17.8,17.5,721.2,204.7,
E10000012,Essex,80.2,65.8,82.1,84.1,4.0,12.3,19.9,710.7,202.7,
E10000013,Gloucestershire,80.1,66.2,82.6,84.4,3.7,12.3,16.5,776.1,212.4,
E10000014,Hampshire,81.1,67.2,82.9,85.9,3.3,11.1,17.1,601.0,188.0,
E10000015,Hertfordshire,80.8,64.3,79.6,86.3,3.3,10.7,19.3,661.7,188.8,
E10000016,Kent,79.8,63.8,79.8,80.5,3.8,16.2,19.0,693.1,220.7,
E10000017,Lancashire,78.5,61.8,78.7,76.9,3.3,20.5,20.1,890.7,250.6,
E10000018,Leicestershire,80.5,63.6,79.0,80.8,3.1,16.5,17.6,730.2,192.0,
E10000019,Lincolnshire,79.6,62.9,79.0,81.6,5.1,13.8,18.5,737.4,223.3,
E10000020,Norfolk,80.2,64.5,80.5,79.8,3.7,17.2,17.7,829.1,205.3,
E10000021,Northamptonshire,79.4,65.5,82.5,84.7,2.7,12.8,22.4,875.9,233.5,
E10000023,North Yorkshire,80.4,67.3,83.7,82.9,3.0,14.8,15.1,788.4,199.8,
E10000024,Nottinghamshire,79.4,61.1,77.0,77.4,2.5,20.4,17.2,829.1,228.8,
E10000025,Oxfordshire,81.2,68.7,84.6,85.7,2.5,12.0,16.2,687.8,177.2,
E10000027,Somerset,80.2,65.4,81.6,84.6,3.1,12.7,17.7,749.9,209.2,
E10000028,Staffordshire,79.6,64.4,80.9,81.4,4.6,14.5,14.9,823.9,226.6,
E10000029,Suffolk,80.7,65.1,80.6,80.8,3.7,16.0,17.8,696.3,196.7,
E10000030,Surrey,81.5,68.6,84.1,82.1,2.6,15.6,16.1,636.7,176.6,
E10000031,Warwickshire,80.0,68.0,85.0,83.7,1.4,15.0,13.5,716.9,214.6,
E10000032,West Sussex,80.5,64.6,80.2,81.5,2.6,16.1,16.7,694.1,205.4,
E10000034,Worcestershire,79.7,65.6,82.3,79.9,3.0,17.5,17.1,790.9,207.6,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1Ages 16-64. Rates based on figures divided by 16-64 population,,,,,,,,,,,
2Unemployment rates based on number of unemployed people 16+ divided by the sum of employed people 16+ and unemployed people 16+,,,,,,,,,,,
3Smoking prevalence is for ages 18+ estimated by ONS using Annual Population Survey data for 2015,,,,,,,,,,,
4Value for Hackney and City of London combined; value for Cornwall & Isles of Scilly combined,,,,,,,,,,,
5Value for Cornwall and Isles of Scilly combined,,,,,,,,,,,
