Office for National Statistics,,,,,,,,,,Return to contents page,
Crown Copyright 2017,,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,,
,,,,,,,,,,,
UTLA code,Local Authority,Life Expectancy at birth (years),Healthy Life Expectancy at birth (years),Proportion of life in good health (%),ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,"Alcohol-related admissions (per 100,000)4","Preventable Mortality (deaths per 100,000)5",
E08000017,Doncaster,81.6,61.0,74.7,64.0,9.1,29.4,20.4,597.6,166.5,
E08000018,Rotherham,81.3,58.0,71.4,67.0,5.5,29.0,16.5,509.5,165.8,
E08000019,Sheffield,82.5,59.9,72.6,65.0,8.3,29.0,16.1,566.8,151.8,
E08000021,Newcastle upon Tyne,81.5,61.1,74.9,62.7,7.3,32.2,16.8,653.1,176.8,
E08000022,North Tyneside,82.4,62.3,75.7,72.6,6.3,22.4,18.3,852.3,177.5,
E08000023,South Tyneside,81.5,57.9,71.0,66.2,8.5,27.5,15.4,707.0,173.4,
E08000024,Sunderland,80.9,60.1,74.3,61.5,7.3,33.6,20.9,636.1,196.3,
E08000025,Birmingham,81.9,59.4,72.5,54.2,8.0,41.0,15.4,488.1,167.6,
E08000026,Coventry,82.3,63.8,77.5,57.8,4.2,39.6,14.1,585.9,160.9,
E08000027,Dudley,82.9,62.7,75.6,63.5,7.9,31.0,18.3,617.2,145.3,
E08000028,Sandwell,81.3,59.7,73.3,59.0,7.6,36.1,14.0,571.7,183.4,
E08000029,Solihull,84.2,67.9,80.7,68.7,3.7,28.6,11.5,600.4,123.3,
E08000030,Walsall,82.3,59.0,71.6,58.6,8.6,35.9,15.6,426.8,151.7,
E08000031,Wolverhampton,81.4,59.5,73.0,59.1,10.6,33.7,18.2,659.4,169.9,
E08000032,Bradford,81.3,60.5,74.4,59.4,7.6,35.5,16.9,610.6,163.3,
E08000033,Calderdale,82.1,65.7,80.0,72.6,3.8,24.5,16.4,445.9,167.4,
E08000034,Kirklees,82.4,62.4,75.8,63.4,5.5,32.8,17.4,514.2,141.4,
E08000035,Leeds,82.1,62.1,75.6,71.4,4.2,25.4,16.6,400.0,158.4,
E08000036,Wakefield,82.0,60.5,73.8,65.9,6.8,29.1,21.4,696.6,156.7,
E08000037,Gateshead,81.4,59.1,72.6,69.5,6.1,25.9,15.7,723.1,184.1,
E09000002,Barking and Dagenham,81.8,58.5,71.6,56.6,11.6,35.8,15.4,369.5,165.5,
E09000003,Barnet,85.0,69.1,81.2,63.2,7.0,32.0,10.2,339.0,102.4,
E09000004,Bexley,84.1,64.2,76.3,68.6,8.4,25.4,13.1,362.5,122.3,
E09000005,Brent,84.9,65.3,76.9,62.2,6.2,33.5,8.2,345.8,113.5,
E09000006,Bromley,85.1,69.5,81.8,70.7,3.4,26.8,13.0,444.1,105.9,
E09000007,Camden,86.1,65.1,75.5,66.1,4.7,30.7,10.6,359.4,121.2,
E09000008,Croydon,83.4,63.8,76.5,69.5,3.5,27.9,14.2,311.8,128.9,
E09000009,Ealing,84.0,61.1,72.7,63.9,5.6,32.2,9.4,362.7,121.7,
E09000010,Enfield,84.2,66.0,78.4,65.9,4.0,31.6,11.4,445.5,114.2,
E09000011,Greenwich,82.6,61.6,74.6,66.7,9.2,26.4,11.9,412.1,157.6,
E09000012,Hackney,82.8,58.7,70.9,65.4,5.5,30.9,16.0,345.8,160.2,
E09000013,Hammersmith and Fulham,83.9,60.6,72.3,74.2,4.3,22.4,15.7,362.0,142.4,
E09000014,Haringey,84.5,60.5,71.5,64.8,5.4,31.3,13.7,459.5,129.5,
E09000015,Harrow,85.9,70.0,81.4,64.6,4.9,32.0,9.4,349.1,103.4,
E09000016,Havering,84.1,64.8,77.1,71.8,5.2,24.2,16.0,286.1,115.5,
E09000017,Hillingdon,83.7,62.4,74.6,65.8,4.5,31.0,14.1,372.6,131.9,
E09000018,Hounslow,84.1,61.8,73.4,63.3,5.1,33.2,11.1,318.1,116.3,
E09000019,Islington,83.1,61.6,74.2,67.1,4.4,29.8,15.0,550.0,150.6,
E09000020,Kensington and Chelsea,86.4,67.4,78.0,60.3,4.7,36.6,15.6,278.8,105.6,
E09000021,Kingston upon Thames,84.5,68.6,81.2,67.6,5.1,28.7,14.0,281.0,101.4,
E09000022,Lambeth,83.0,63.0,75.9,74.8,4.5,21.6,17.3,400.7,149.3,
E09000023,Lewisham,83.1,62.1,74.6,72.4,6.0,22.9,12.4,390.5,147.4,
E09000024,Merton,84.2,66.2,78.6,71.5,5.8,24.1,12.5,340.2,120.9,
E09000025,Newham,82.5,60.5,73.3,55.9,10.8,37.3,13.2,340.3,143.3,
E09000026,Redbridge,84.2,63.1,74.9,57.6,11.4,34.8,7.6,283.4,102.5,
E09000027,Richmond upon Thames,85.4,71.1,83.3,77.1,5.0,18.7,9.2,317.3,105.1,
E09000028,Southwark,83.7,60.1,71.8,68.9,8.7,24.4,10.8,375.6,152.8,
E09000029,Sutton,83.5,66.8,80.0,70.5,8.7,22.9,12.0,390.9,130.4,
E09000030,Tower Hamlets,82.4,52.4,63.5,59.5,10.6,33.4,15.4,345.8,164.0,
E09000031,Waltham Forest,83.7,60.2,71.9,69.2,2.5,29.0,11.4,288.1,143.9,
E09000032,Wandsworth,83.6,67.5,80.7,71.4,6.7,23.6,12.2,345.1,130.0,
E09000033,Westminster,86.0,65.5,76.1,61.7,6.8,33.6,10.7,325.5,102.4,
E10000002,Buckinghamshire,84.9,70.1,82.6,74.2,4.3,22.6,10.4,404.4,103.3,
E10000003,Cambridgeshire,84.4,67.3,79.8,77.7,3.4,19.4,13.7,479.8,113.0,
E10000006,Cumbria,82.9,64.7,78.0,75.2,2.6,22.9,14.1,519.3,149.5,
E10000007,Derbyshire,82.8,63.8,77.1,71.3,2.7,26.7,15.7,542.2,144.4,
E10000008,Devon,84.5,66.5,78.8,73.2,3.9,23.8,12.2,517.7,117.2,
E10000009,Dorset,84.6,65.2,77.0,72.9,4.2,24.2,13.7,384.3,109.8,
E10000011,East Sussex,84.0,65.7,78.2,68.9,2.8,29.2,18.3,441.9,122.7,
E10000012,Essex,83.5,64.0,76.7,69.8,4.1,27.1,15.3,436.9,128.0,
E10000013,Gloucestershire,83.5,66.2,79.3,75.1,3.5,22.1,12.8,576.8,126.3,
E10000014,Hampshire,84.3,67.2,79.8,76.1,4.3,20.4,12.7,359.7,118.0,
E10000015,Hertfordshire,84.1,67.4,80.1,75.1,2.6,22.9,11.9,376.8,117.6,
E10000016,Kent,83.5,65.5,78.5,67.1,7.0,27.6,15.1,378.6,128.2,
E10000017,Lancashire,82.1,63.6,77.5,70.3,3.8,26.9,16.6,489.5,161.8,
E10000018,Leicestershire,83.9,65.8,78.4,72.2,3.0,25.5,17.1,478.2,117.6,
E10000019,Lincolnshire,83.1,63.7,76.6,67.4,5.9,28.2,16.1,450.0,137.1,
E10000020,Norfolk,83.6,65.4,78.2,70.5,4.9,25.9,13.7,551.7,127.0,
E10000021,Northamptonshire,83.1,67.0,80.6,73.1,3.7,24.0,15.2,518.9,136.1,
E10000023,North Yorkshire,84.1,68.4,81.3,77.8,1.0,21.4,11.6,473.0,111.0,
E10000024,Nottinghamshire,82.8,62.2,75.1,69.5,4.5,27.1,14.3,497.4,141.0,
E10000025,Oxfordshire,84.3,70.3,83.5,75.4,4.5,20.9,14.8,470.8,110.9,
E10000027,Somerset,84.1,67.4,80.1,72.0,4.2,24.6,14.5,505.7,117.9,
E10000028,Staffordshire,83.0,63.8,76.9,72.7,3.7,24.5,12.4,580.4,140.9,
E10000029,Suffolk,84.1,66.7,79.3,72.4,4.3,24.2,14.6,444.1,119.4,
E10000030,Surrey,84.5,68.8,81.4,70.9,3.7,26.2,12.0,349.9,110.5,
E10000031,Warwickshire,83.6,67.6,80.9,73.5,2.7,24.5,10.7,479.9,123.4,
E10000032,West Sussex,84.1,66.6,79.1,76.0,2.6,21.9,12.7,439.3,117.1,
E10000034,Worcestershire,83.5,67.7,81.1,72.4,4.2,24.3,14.6,505.2,128.0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1Ages 16-64. Rates based on figures divided by 16-64 population,,,,,,,,,,,
2Unemployment rates based on number of unemployed people 16+ divided by the sum of employed people 16+ and unemployed people 16+,,,,,,,,,,,
3Smoking prevalence is for ages 18+ estimated by ONS using Annual Population Survey data for 2015,,,,,,,,,,,
4Value for Hackney and City of London combined; value for Cornwall & Isles of Scilly combined,,,,,,,,,,,
5Value for Cornwall and Isles of Scilly combined,,,,,,,,,,,
